title,link,source,snippet,date,absolute_date
Brazil fuel firm Vibra to buy remaining stake in Comerc for $642 million,https://www.reuters.com/markets/deals/brazil-fuel-distributor-vibra-agrees-buy-remaining-stake-comerc-642-million-2024-08-21/,Reuters,Brazilian fuel distributor Vibra said on Wednesday it had signed an agreement to exercise its right to buy the remaining stake in power generator and trader...,"Aug 21, 2024",2024-08-21
Brazil to Limit Some Visitors to Stem Illegal Migration to US,https://www.bloomberg.com/news/articles/2024-08-22/brazil-to-limit-some-visitors-to-stem-illegal-migration-to-us,Bloomberg.com,Brazil will start restricting the entry of citizens from countries including China and India in a bid to crack down on people arriving in the South American...,"Aug 21, 2024",2024-08-21
MercadoLibre's fintech launches its own dollar-backed 'stablecoin' in Brazil,https://www.reuters.com/technology/mercadolibres-fintech-launches-its-own-dollar-backed-stablecoin-brazil-2024-08-21/,Reuters,Latin American e-commerce giant MercadoLibre's financial technology arm Mercado Pago announced on Wednesday that it has started making a so-called...,"Aug 21, 2024",2024-08-21
"ArcelorMittal, investment fund-backed Atlas team up to build solar plant in Brazil",https://www.reuters.com/business/energy/arcelormittal-investment-fund-backed-atlas-team-up-build-solar-plant-brazil-2024-08-21/,Reuters,"Atlas Renewables Energy and ArcelorMittal will form a joint venture to build a solar plant in Brazil's Minas Gerais state, they said on Wednesday, aiming to...","Aug 21, 2024",2024-08-21
Brazil Sees Steel Imports Spike Despite Protection Measures,https://www.bloomberg.com/news/articles/2024-08-21/brazil-sees-steel-imports-spike-despite-protection-measures,Bloomberg,Brazil continued to see a significant increase in steel imports two months after stepping up protections for its mills amid a flood of cheap imports led by...,"Aug 21, 2024",2024-08-21
Brazil’s Senate Approves Payroll Break Without Tax Hike,https://www.bloomberg.com/news/articles/2024-08-21/brazil-politics-senate-approves-payroll-break-without-tax-hike,Bloomberg.com,"The Senate on Tuesday approved a bill to gradually reduce payroll taxes for 17 sectors of the economy, after Congress extend the waiver until 2027.","Aug 21, 2024",2024-08-21
Brazil to tighten entry rules to curb migration to North America,https://www.reuters.com/world/americas/brazil-tighten-entry-rules-curb-migration-north-america-2024-08-22/,Reuters,"BRASILIA, Aug 21 (Reuters) - Brazil will tighten up rules to enter the country without a visa starting next week, the government said on Wednesday,...","Aug 21, 2024",2024-08-21
Brazil airline Voepass halts some flights after deadly crash,https://www.reuters.com/business/aerospace-defense/brazil-airline-voepass-halts-some-flights-after-deadly-crash-2024-08-21/,Reuters,"SAO PAULO, Aug 21 (Reuters) - Brazilian airline Voepass has decided to reduce some service to nine locations after one of its planes crashed and killed 62...","Aug 21, 2024",2024-08-21
"Profit Triples at Brazil Bank Targeting Retirees, State Workers",https://www.bloomberg.com/news/articles/2024-08-20/profit-triples-at-brazil-bank-targeting-retirees-state-workers,Bloomberg,"Agibank, a closely held Brazilian financial-technology firm, tripled its profit during the first half of the year while expanding its credit portfolio as...","Aug 20, 2024",2024-08-20
Brazil Real Weakens as Central Banker Casts Doubt on Rate Hike,https://www.bloomberg.com/news/articles/2024-08-20/brazil-real-weakens-as-central-banker-casts-doubt-on-rate-hike,Bloomberg.com,"Brazil's real weakened after central bank chief Roberto Campos Neto signaled interest rate hikes are less certain than markets forecast,...","Aug 20, 2024",2024-08-20
Brazil Senate OKs bill regulating payroll tax waivers,https://www.reuters.com/world/americas/brazil-senator-withdraws-proposal-hike-taxes-shareholder-remuneration-2024-08-20/,Reuters,"BRASILIA, Aug 20 (Reuters) - The Brazilian Senate approved a bill on Tuesday containing measures to offset the effects of a payroll tax exemption,...","Aug 20, 2024",2024-08-20
Brazil Real Weakens as Central Banker Casts Doubt on Rate Hike,https://www.bloomberg.com/news/articles/2024-08-20/brazil-real-weakens-as-central-banker-casts-doubt-on-rate-hike,Bloomberg,Brazil's real weakened after central bank chief Roberto Campos Neto signaled interest rate hikes are less certain than markets forecast.,"Aug 20, 2024",2024-08-20
